Doc,Length
1,201
2,146
3,153
4,199
5,123
6,213
7,241
8,289
9,72
10,48
11,130
12,104
13,92
14,331
15,91
16,59
17,86
18,269
19,266
20,84
21,86
22,166
23,173
24,215
25,72
26,104
27,93
28,70
29,99
30,166
31,180
32,62
33,100
34,156
35,56
36,193
37,153
38,102
39,110
40,110
41,108
42,51
43,240
44,55
45,93
46,204
47,196
48,198
49,110
50,84
51,102
52,115
53,92
54,70
55,235
56,140
57,46
58,173
59,115
60,151
61,193
62,193
63,213
64,90
65,222
66,125
67,197
68,81
69,178
70,118
71,276
72,128
73,215
74,91
75,125
76,115
77,267
78,94
79,124
80,108
81,143
82,85
83,192
84,93
85,120
86,237
87,104
88,108
89,208
90,115
91,151
92,110
93,195
94,72
95,175
96,88
97,123
98,220
99,107
100,194
101,100
102,192
103,167
104,319
105,103
106,165
107,245
108,135
109,120
110,112
111,233
112,144
113,61
114,99
115,116
116,100
117,109
118,242
119,100
120,126
121,198
122,181
123,156
124,159
125,177
126,223
127,83
128,5
130,79
131,115
133,212
134,177
135,150
136,104
137,274
138,92
139,249
140,184
141,299
142,49
143,216
144,245
145,145
146,92
147,176
148,135
149,142
150,184
151,88
152,120
153,89
154,100
155,117
156,69
157,50
158,65
159,120
160,113
161,122
162,97
163,223
164,90
165,249
166,92
167,66
168,109
169,87
170,69
171,59
172,232
173,160
174,110
175,182
176,164
177,171
178,205
179,242
180,164
181,138
182,63
183,100
184,57
185,258
186,92
187,126
188,184
189,129
190,165
191,84
192,229
193,193
194,224
195,138
196,131
197,174
198,71
199,84
201,248
202,182
203,183
204,48
205,198
206,144
207,70
208,197
209,138
210,53
211,118
212,101
214,112
215,317
216,134
217,75
218,80
220,128
221,96
222,65
223,131
224,189
225,155
226,44
227,89
228,147
229,75
230,130
231,107
232,118
233,90
234,190
235,261
236,163
237,79
238,166
239,144
240,59
241,138
242,165
243,182
244,287
245,109
246,199
247,125
248,201
249,80
250,195
251,209
252,107
253,209
254,125
255,132
256,146
257,125
258,359
259,270
260,271
261,196
262,49
263,277
264,87
265,107
266,151
267,114
268,302
269,109
270,204
271,126
272,186
273,64
274,69
275,97
276,122
277,92
278,258
279,212
280,127
281,274
283,112
284,125
285,81
286,164
287,158
288,124
289,65
290,155
291,156
292,85
293,137
294,110
295,186
297,229
298,144
299,98
300,162
301,151
302,118
303,160
304,304
305,245
306,298
307,479
308,155
309,78
310,150
311,94
312,212
313,192
314,291
315,218
316,101
317,234
318,51
319,139
320,198
321,60
322,229
323,131
324,160
325,237
326,213
327,113
328,105
329,80
330,209
331,129
332,201
333,359
334,173
335,167
336,122
337,104
338,52
339,53
340,107
341,147
342,170
344,86
345,238
346,193
347,256
348,220
349,166
350,128
351,139
352,145
353,52
354,65
355,167
356,192
357,82
358,249
359,220
360,248
361,70
362,121
363,103
364,150
365,61
366,94
367,300
368,210
369,224
370,283
371,141
372,163
373,174
374,180
375,284
376,49
377,193
378,101
379,116
380,133
381,37
382,106
383,188
384,99
385,101
386,131
387,148
388,92
389,90
390,84
391,74
392,195
393,201
394,100
395,128
396,84
398,118
399,86
400,182
401,144
402,58
403,85
404,119
405,159
406,106
407,116
408,105
409,72
410,146
411,221
412,103
413,113
414,215
415,251
416,167
417,146
418,108
419,69
420,86
421,183
422,157
423,159
424,244
425,101
426,95
427,69
428,36
429,240
430,210
431,196
432,157
433,71
434,106
435,166
436,153
437,169
438,117
439,126
440,197
441,254
442,161
