Key,Value
0,"{(577, 157), (74, 20), (383, 27), (665, 52)}"
00,"{(725, 173)}"
000005,"{(62, 185)}"
00001,"{(306, 161), (275, 74)}"
00005,"{(989, 61), (307, 266), (307, 272), (874, 50)}"
0001,"{(306, 185), (831, 83), (1120, 341), (960, 93), (951, 142), (961, 43), (736, 89), (978, 150), (195, 76), (306, 172), (956, 211), (358, 176), (993, 156), (852, 71), (375, 82), (108, 62), (584, 113), (528, 123), (815, 94), (865, 74), (1016, 139), (358, 169), (1209, 57), (831, 75), (123, 110), (522, 274), (195, 126), (831, 96), (259, 269), (901, 175)}"
0002,"{(831, 79), (307, 81), (1171, 84)}"
00025,"{(1157, 128)}"
0003,"{(1120, 217)}"
0004,"{(1209, 77)}"
0005,"{(306, 191), (653, 81), (1222, 61), (306, 178), (1142, 55), (1222, 144), (337, 77), (1142, 125), (525, 44), (956, 249), (62, 83), (62, 128), (993, 128), (956, 364), (1201, 95), (993, 72), (653, 91)}"
001,"{(356, 146), (745, 223), (1120, 405), (951, 151), (466, 76), (421, 50), (144, 159), (375, 211), (998, 101), (790, 102), (1171, 117), (725, 104), (107, 109), (337, 83), (978, 195), (1143, 116), (725, 207), (47, 27), (93, 137), (522, 290), (993, 119), (896, 113), (375, 161), (987, 115), (737, 83), (988, 150), (874, 73), (961, 151), (993, 100), (978, 209), (790, 88), (1200, 228), (803, 189), (716, 96), (988, 88)}"
00131,"{(93, 120)}"
0015,"{(815, 41)}"
001P,"{(1016, 136)}"
002,"{(375, 226), (375, 65), (865, 80), (848, 77), (232, 74), (583, 106), (803, 193), (375, 157), (800, 160), (375, 218), (375, 166), (645, 137)}"
0021000,"{(400, 43)}"
0025,"{(307, 215), (993, 78)}"
003,"{(803, 153), (375, 162), (375, 180)}"
004,"{(375, 175), (375, 203), (660, 301), (803, 170), (375, 189), (542, 249), (375, 214)}"
0045,"{(1120, 213)}"
005,"{(745, 217), (803, 109), (737, 112), (161, 102), (356, 167), (660, 274), (695, 69), (967, 110), (577, 190), (62, 132), (577, 141), (1005, 101), (848, 104), (1101, 98), (717, 69), (716, 79), (1003, 169), (1003, 47), (803, 62), (742, 110), (375, 176), (356, 77), (645, 131), (653, 108), (1201, 172), (1209, 66), (1143, 112), (375, 197), (800, 93), (588, 225), (961, 181), (144, 111), (803, 143)}"
005026,"{(1028, 103)}"
00515,"{(855, 64)}"
006,"{(375, 171), (375, 185)}"
0068,"{(956, 152)}"
007,"{(375, 194), (848, 97)}"
0075,"{(956, 143)}"
008,"{(259, 146), (393, 94), (375, 223)}"
009,"{(660, 293), (375, 199)}"
01,"{(233, 59), (955, 88), (725, 168), (766, 78), (993, 193), (998, 87), (1003, 37), (717, 83), (1142, 80), (1085, 99), (380, 64), (993, 185), (523, 105), (584, 110), (380, 50), (725, 130), (526, 30)}"
010,"{(803, 157), (951, 126)}"
011,"{(951, 118)}"
012,"{(1021, 41), (375, 190), (951, 122)}"
013,"{(885, 114), (584, 93), (375, 219)}"
014,"{(1120, 316), (803, 187)}"
01585,"{(874, 65)}"
016,"{(848, 85), (803, 174), (375, 208)}"
017,"{(951, 166)}"
01780,"{(874, 80)}"
018,"{(1021, 50)}"
019,"{(885, 130)}"
02,"{(725, 213), (61, 55), (993, 202), (1213, 93), (725, 154), (664, 30)}"
020,"{(745, 160)}"
02139,"{(795, 41)}"
022,"{(1120, 256)}"
023,"{(584, 75)}"
0233,"{(660, 278)}"
027,"{(375, 204), (93, 114)}"
028,"{(745, 174), (393, 98)}"
02832,"{(874, 42)}"
029,"{(667, 243)}"
03,"{(660, 282), (416, 86), (725, 90), (1002, 92), (236, 79), (725, 159), (620, 8), (61, 75)}"
030,"{(848, 95), (874, 33), (536, 43)}"
032,"{(147, 48), (259, 260)}"
034,"{(1120, 401)}"
035,"{(375, 61)}"
039,"{(803, 191), (660, 297)}"
04,"{(257, 123), (307, 201), (1027, 88)}"
042,"{(147, 57)}"
043,"{(848, 70), (1120, 373), (737, 59)}"
047,"{(956, 241)}"
0472,"{(653, 104)}"
048,"{(1047, 167), (803, 151)}"
049,"{(536, 41), (278, 187)}"
05,"{(393, 126), (755, 97), (393, 122), (577, 158), (683, 49), (947, 83), (813, 109), (1101, 92), (523, 96), (755, 127), (955, 73), (1002, 56), (742, 214), (1150, 73), (665, 66), (1002, 84)}"
050,"{(848, 83), (259, 250), (742, 111), (745, 179)}"
051,"{(458, 110), (375, 55)}"
0510,"{(70, 72)}"
055,"{(378, 61)}"
056,"{(745, 186), (885, 110), (709, 25), (251, 13)}"
06,"{(725, 192), (248, 192), (1101, 88), (248, 93)}"
060,"{(737, 94)}"
0602,"{(660, 270)}"
0607,"{(653, 87)}"
0625,"{(790, 84)}"
063,"{(956, 237)}"
066,"{(951, 124)}"
0671,"{(653, 77)}"
0674,"{(736, 82)}"
068,"{(584, 91), (803, 168)}"
0696,"{(660, 289)}"
07,"{(358, 92), (725, 166)}"
070,"{(227, 49)}"
0700,"{(259, 80)}"
072,"{(1047, 125)}"
073,"{(1047, 118), (803, 118)}"
075,"{(736, 70), (246, 174), (736, 78)}"
076,"{(956, 232)}"
077,"{(737, 74), (1047, 131)}"
078,"{(1200, 114), (1042, 125)}"
079,"{(1121, 280)}"
08,"{(725, 171), (458, 113), (743, 73), (47, 106), (47, 29), (806, 25), (93, 96)}"
080,"{(1047, 145)}"
082,"{(951, 120), (1021, 39), (1047, 149)}"
084,"{(1047, 155), (1121, 289)}"
085,"{(139, 70), (509, 46)}"
0853,"{(803, 124)}"
086,"{(885, 126)}"
087,"{(803, 155)}"
089,"{(93, 134)}"
0894,"{(393, 96)}"
09,"{(600, 61)}"
090,"{(1121, 329)}"
093,"{(1200, 116)}"
0934,"{(306, 131)}"
098,"{(1021, 48)}"
0RONCHIAL,"{(211, 64)}"
0TIME,"{(1201, 158)}"
1,"{(23, 4), (844, 190), (181, 53), (1221, 39), (47, 71), (607, 161), (65, 171), (306, 212), (392, 102), (914, 13), (855, 55), (584, 86), (770, 23), (1168, 60), (1039, 129), (293, 104), (65, 136), (86, 232), (544, 70), (1217, 98), (261, 157), (1150, 102), (1219, 16), (914, 45), (228, 62), (236, 45), (733, 97), (408, 29), (563, 205), (519, 61), (864, 44), (584, 63), (1215, 21), (322, 63), (586, 44), (922, 24), (587, 61), (978, 74), (1216, 58), (54, 37), (22, 32), (9, 69), (48, 188), (1038, 91), (324, 16), (953, 59), (1038, 219), (1222, 83), (1150, 42), (1227, 143), (39, 87), (188, 140), (694, 128), (63, 97), (137, 46), (1149, 300), (8, 191), (109, 103), (655, 84), (738, 134), (722, 28), (488, 44), (1050, 12), (1169, 67), (97, 39), (532, 22), (104, 54), (1110, 118), (466, 31), (892, 75), (1105, 51), (422, 101), (2, 88), (452, 25), (743, 107), (1221, 54), (69, 162), (744, 53), (599, 62), (256, 107), (1168, 45), (179, 150), (565, 176), (383, 47), (549, 70), (330, 41), (1091, 124), (892, 107), (26, 47), (392, 98), (422, 78), (892, 61), (742, 104), (378, 32), (678, 165), (865, 19), (251, 22), (914, 30), (229, 46), (655, 65), (951, 45), (714, 163), (653, 46), (1085, 97), (952, 71), (304, 81), (766, 81), (1064, 22), (458, 148), (152, 93), (45, 31), (1121, 156), (193, 121), (1149, 148), (1042, 183), (1149, 111), (367, 121), (858, 102), (467, 98), (233, 50), (150, 162), (488, 20), (1094, 22), (109, 109), (528, 19), (38, 67), (534, 99), (881, 24), (6, 135), (266, 147), (61, 50), (304, 131), (367, 50), (1169, 125), (599, 45), (193, 107), (228, 83), (608, 66), (1121, 224), (571, 111), (266, 76)}"
